block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
593B,Montreal Link,01 to 03,68,Model A,2015,92.58,355000,Oct 2021
463A,Sembawang Dr,04 to 06,67,Model A,2015,92.83,349000,Sep 2021
463B,Sembawang Dr,04 to 06,67,Model A,2015,92.67,340000,Sep 2021
463B,Sembawang Dr,04 to 06,67,Model A,2015,92.75,350000,Sep 2021
590A,Montreal Link,01 to 03,68,Model A,2015,92.75,330000,Aug 2021
463B,Sembawang Dr,07 to 09,67,Model A,2015,92.75,310000,Aug 2021
591A,Montreal Link,10 to 12,68,Model A,2015,93.08,320000,Apr 2021
592A,Montreal Link,01 to 03,68,Model A,2015,93.08,320000,Apr 2021
591A,Montreal Link,04 to 06,68,Model A,2015,93.25,317000,Mar 2021
590A,Montreal Link,04 to 06,68,Model A,2015,93.25,305000,Feb 2021
590A,Montreal Link,13 to 15,68,Model A,2015,93.25,320000,Feb 2021
593A,Montreal Link,10 to 12,68,Model A,2015,93.17,325000,Feb 2021
463A,Sembawang Dr,16 to 18,67,Model A,2015,93.33,322000,Feb 2021
463A,Sembawang Dr,04 to 06,67,Model A,2015,93.33,330000,Feb 2021
463B,Sembawang Dr,16 to 18,67,Model A,2015,93.33,315000,Feb 2021
593B,Montreal Link,04 to 06,68,Model A,2015,93.33,320000,Jan 2021
590B,Montreal Link,10 to 12,68,Model A,2015,93.42,300000,Nov 2020
593A,Montreal Link,10 to 12,68,Model A,2015,93.5,340000,Nov 2020
463B,Sembawang Dr,01 to 03,67,Model A,2015,93.58,270000,Nov 2020
593B,Montreal Link,01 to 03,68,Model A,2015,92.58,355000,Oct 2021
463A,Sembawang Dr,04 to 06,67,Model A,2015,92.83,349000,Sep 2021
463B,Sembawang Dr,04 to 06,67,Model A,2015,92.67,340000,Sep 2021
463B,Sembawang Dr,04 to 06,67,Model A,2015,92.75,350000,Sep 2021
590A,Montreal Link,01 to 03,68,Model A,2015,92.75,330000,Aug 2021
463B,Sembawang Dr,07 to 09,67,Model A,2015,92.75,310000,Aug 2021
591A,Montreal Link,10 to 12,68,Model A,2015,93.08,320000,Apr 2021
592A,Montreal Link,01 to 03,68,Model A,2015,93.08,320000,Apr 2021
591A,Montreal Link,04 to 06,68,Model A,2015,93.25,317000,Mar 2021
590A,Montreal Link,04 to 06,68,Model A,2015,93.25,305000,Feb 2021
590A,Montreal Link,13 to 15,68,Model A,2015,93.25,320000,Feb 2021
593A,Montreal Link,10 to 12,68,Model A,2015,93.17,325000,Feb 2021
463A,Sembawang Dr,16 to 18,67,Model A,2015,93.33,322000,Feb 2021
463A,Sembawang Dr,04 to 06,67,Model A,2015,93.33,330000,Feb 2021
463B,Sembawang Dr,16 to 18,67,Model A,2015,93.33,315000,Feb 2021
593B,Montreal Link,04 to 06,68,Model A,2015,93.33,320000,Jan 2021
590B,Montreal Link,10 to 12,68,Model A,2015,93.42,300000,Nov 2020
593A,Montreal Link,10 to 12,68,Model A,2015,93.5,340000,Nov 2020
463B,Sembawang Dr,01 to 03,67,Model A,2015,93.58,270000,Nov 2020