storey,floor area (sqm),flat model,remaining lease (yr),resale price ($),resale registration date,area,lat,lng
26,70,Model A,90,530000,Sep-21,Ang Mo Kio,1.3652927,103.8444284
26,70,Model A,90.33,543000,Jun-21,Ang Mo Kio,1.3655146,103.8440661
17,67,Model A,93.67,455000,May-21,Ang Mo Kio,1.3776837,103.8426804
20,67,Model A,93.75,473000,Apr-21,Ang Mo Kio,1.3776837,103.8426804
29,70,Model A,90.58,510000,Mar-21,Ang Mo Kio,1.3655146,103.8440661
29,70,Model A,90.83,510000,Dec-20,Ang Mo Kio,1.3652927,103.8444284
26,70,Model A,90,530000,Sep-21,Ang Mo Kio,1.3652927,103.8444284
26,70,Model A,90.33,543000,Jun-21,Ang Mo Kio,1.3655146,103.8440661
17,67,Model A,93.67,455000,May-21,Ang Mo Kio,1.3776837,103.8426804
20,67,Model A,93.75,473000,Apr-21,Ang Mo Kio,1.3776837,103.8426804
29,70,Model A,90.58,510000,Mar-21,Ang Mo Kio,1.3655146,103.8440661
29,70,Model A,90.83,510000,Dec-20,Ang Mo Kio,1.3652927,103.8444284
17,68,New Generation,57.58,339000,Aug-21,Bedok,1.3340175,103.925139
17,68,New Generation,57.58,300000,Jul-21,Bedok,1.3334447,103.9229638
17,67,New Generation,55.58,338888,Jul-21,Bedok,1.3200234,103.9429035
17,67,New Generation,55.92,308000,Feb-21,Bedok,1.3200234,103.9429035
17,68,New Generation,58.17,299000,Dec-20,Bedok,1.3334447,103.9229638
17,68,New Generation,57.58,339000,Aug-21,Bedok,1.3340175,103.925139
17,68,New Generation,57.58,300000,Jul-21,Bedok,1.3334447,103.9229638
17,67,New Generation,55.58,338888,Jul-21,Bedok,1.3200234,103.9429035
17,67,New Generation,55.92,308000,Feb-21,Bedok,1.3200234,103.9429035
17,68,New Generation,58.17,299000,Dec-20,Bedok,1.3334447,103.9229638
17,65,Improved,50.83,356000,Oct-21,Bukit Merah,1.2826858,103.8233525
26,60,Model A,80.33,570000,Oct-21,Bukit Merah,1.2744703,103.8400805
17,65,Improved,52.42,330000,Oct-21,Bukit Merah,1.2901396,103.8225544
17,60,Standard,44.75,262888,Oct-21,Bukit Merah,1.2864086,103.8098066
36,62,Model A,90.42,630000,Oct-21,Bukit Merah,1.2822322,103.8293203
36,62,Model A,90.42,625000,Oct-21,Bukit Merah,1.282039,103.8296416
26,62,Model A,90.42,610000,Oct-21,Bukit Merah,1.281516,103.830022
35,68,Premium Apartment,90.92,658000,Oct-21,Bukit Merah,1.2734894,103.8072667
17,65,Improved,50.92,350000,Sep-21,Bukit Merah,1.2826858,103.8233525
17,76,Improved,50.92,410000,Sep-21,Bukit Merah,1.2836829,103.8240354
20,68,Model A,96.75,668000,Sep-21,Bukit Merah,1.288026,103.8212865
20,60,Model A,86.42,550000,Sep-21,Bukit Merah,1.2827261,103.824674
20,68,Model A,94.75,625000,Sep-21,Bukit Merah,1.2764241,103.8111733
20,68,Model A,94.67,640000,Sep-21,Bukit Merah,1.2764241,103.8111733
23,68,Model A,94.75,635000,Sep-21,Bukit Merah,1.2765156,103.8106617
17,65,Improved,60.5,363000,Aug-21,Bukit Merah,1.2835678,103.8208789
17,65,Improved,51,380000,Aug-21,Bukit Merah,1.2836829,103.8240354
20,69,Model A,90.83,660000,Aug-21,Bukit Merah,1.2901637,103.8281018
20,68,Model A,96.83,670000,Aug-21,Bukit Merah,1.2872983,103.82199
17,60,Model A,86.42,580000,Aug-21,Bukit Merah,1.2830701,103.8260692
35,68,Premium Apartment,91.08,680000,Aug-21,Bukit Merah,1.2734894,103.8072667
23,62,Model A,93.5,688000,Jul-21,Bukit Merah,1.2865016,103.8291887
17,65,Improved,51.08,310000,Jul-21,Bukit Merah,1.2836829,103.8240354
20,60,Model A,86.58,580000,Jul-21,Bukit Merah,1.2827261,103.824674
17,65,Improved,51.17,380088,Jun-21,Bukit Merah,1.2826858,103.8233525
26,68,Model A,97,680000,Jun-21,Bukit Merah,1.2865529,103.8215468
36,62,Model A,90.75,616500,Jun-21,Bukit Merah,1.281516,103.830022
17,65,Improved,51.25,355000,May-21,Bukit Merah,1.2836829,103.8240354
17,68,Model A,95,608888,May-21,Bukit Merah,1.2765156,103.8106617
17,68,Premium Apartment,91.33,615000,May-21,Bukit Merah,1.2734894,103.8072667
23,62,Model A,93.83,675000,Apr-21,Bukit Merah,1.2864219,103.8291656
23,69,Model A,91.08,649998,Apr-21,Bukit Merah,1.2892981,103.8292566
20,69,Model A,91.08,650000,Apr-21,Bukit Merah,1.2901637,103.8281018
17,60,Model A,86.75,580000,Apr-21,Bukit Merah,1.2824471,103.825505
17,68,Model A,95.17,602888,Apr-21,Bukit Merah,1.2764241,103.8111733
17,68,Model A,95.08,615000,Apr-21,Bukit Merah,1.2764241,103.8111733
23,68,Model A,95.08,620000,Apr-21,Bukit Merah,1.2764241,103.8111733
17,60,Model A,80.92,535000,Mar-21,Bukit Merah,1.2746874,103.8404881
41,68,Model A,97.17,680000,Mar-21,Bukit Merah,1.2865529,103.8215468
29,62,Model A,90.92,570000,Mar-21,Bukit Merah,1.281516,103.830022
17,59,Improved,50.92,318000,Mar-21,Bukit Merah,1.2869242,103.8188638
26,68,Model A,95.17,625000,Mar-21,Bukit Merah,1.2764241,103.8111733
26,68,Model A,95.17,620000,Mar-21,Bukit Merah,1.2765156,103.8106617
35,62,Model A,93.92,683000,Feb-21,Bukit Merah,1.2864219,103.8291656
20,76,Improved,51.42,403000,Feb-21,Bukit Merah,1.2848284,103.8244801
17,76,Improved,51.42,418000,Feb-21,Bukit Merah,1.2848284,103.8244801
23,68,Model A,97.33,660000,Feb-21,Bukit Merah,1.2870311,103.8215329
20,60,Model A,80.92,532000,Jan-21,Bukit Merah,1.2743997,103.8396276
17,73,Standard,47.5,320000,Jan-21,Bukit Merah,1.288844,103.8287358
20,68,Model A,97.42,668000,Jan-21,Bukit Merah,1.288026,103.8212865
20,62,Model A,91.08,560000,Jan-21,Bukit Merah,1.281516,103.830022
26,68,Premium Apartment,91.67,625000,Jan-21,Bukit Merah,1.2734894,103.8072667
17,62,Model A,94.17,665000,Dec-20,Bukit Merah,1.2865016,103.8291887
20,65,Improved,51.67,275000,Dec-20,Bukit Merah,1.2836829,103.8240354
20,65,Improved,51.67,300000,Dec-20,Bukit Merah,1.2848284,103.8244801
23,69,Model A,91.5,625000,Dec-20,Bukit Merah,1.2892981,103.8292566
17,65,Improved,53.08,295000,Dec-20,Bukit Merah,1.2901396,103.8225544
17,65,Improved,60.92,389000,Nov-20,Bukit Merah,1.2915032,103.8272188
17,65,Improved,53.25,300000,Nov-20,Bukit Merah,1.2782254,103.8185015
17,65,Improved,50.83,356000,Oct-21,Bukit Merah,1.2826858,103.8233525
26,60,Model A,80.33,570000,Oct-21,Bukit Merah,1.2744703,103.8400805
17,65,Improved,52.42,330000,Oct-21,Bukit Merah,1.2901396,103.8225544
17,60,Standard,44.75,262888,Oct-21,Bukit Merah,1.2864086,103.8098066
36,62,Model A,90.42,630000,Oct-21,Bukit Merah,1.2822322,103.8293203
36,62,Model A,90.42,625000,Oct-21,Bukit Merah,1.282039,103.8296416
26,62,Model A,90.42,610000,Oct-21,Bukit Merah,1.281516,103.830022
35,68,Premium Apartment,90.92,658000,Oct-21,Bukit Merah,1.2734894,103.8072667
17,65,Improved,50.92,350000,Sep-21,Bukit Merah,1.2826858,103.8233525
17,76,Improved,50.92,410000,Sep-21,Bukit Merah,1.2836829,103.8240354
20,68,Model A,96.75,668000,Sep-21,Bukit Merah,1.288026,103.8212865
20,60,Model A,86.42,550000,Sep-21,Bukit Merah,1.2827261,103.824674
20,68,Model A,94.75,625000,Sep-21,Bukit Merah,1.2764241,103.8111733
20,68,Model A,94.67,640000,Sep-21,Bukit Merah,1.2764241,103.8111733
23,68,Model A,94.75,635000,Sep-21,Bukit Merah,1.2765156,103.8106617
17,65,Improved,60.5,363000,Aug-21,Bukit Merah,1.2835678,103.8208789
17,65,Improved,51,380000,Aug-21,Bukit Merah,1.2836829,103.8240354
20,69,Model A,90.83,660000,Aug-21,Bukit Merah,1.2901637,103.8281018
20,68,Model A,96.83,670000,Aug-21,Bukit Merah,1.2872983,103.82199
17,60,Model A,86.42,580000,Aug-21,Bukit Merah,1.2830701,103.8260692
35,68,Premium Apartment,91.08,680000,Aug-21,Bukit Merah,1.2734894,103.8072667
23,62,Model A,93.5,688000,Jul-21,Bukit Merah,1.2865016,103.8291887
17,65,Improved,51.08,310000,Jul-21,Bukit Merah,1.2836829,103.8240354
20,60,Model A,86.58,580000,Jul-21,Bukit Merah,1.2827261,103.824674
17,65,Improved,51.17,380088,Jun-21,Bukit Merah,1.2826858,103.8233525
26,68,Model A,97,680000,Jun-21,Bukit Merah,1.2865529,103.8215468
36,62,Model A,90.75,616500,Jun-21,Bukit Merah,1.281516,103.830022
17,65,Improved,51.25,355000,May-21,Bukit Merah,1.2836829,103.8240354
17,68,Model A,95,608888,May-21,Bukit Merah,1.2765156,103.8106617
17,68,Premium Apartment,91.33,615000,May-21,Bukit Merah,1.2734894,103.8072667
23,62,Model A,93.83,675000,Apr-21,Bukit Merah,1.2864219,103.8291656
23,69,Model A,91.08,649998,Apr-21,Bukit Merah,1.2892981,103.8292566
20,69,Model A,91.08,650000,Apr-21,Bukit Merah,1.2901637,103.8281018
17,60,Model A,86.75,580000,Apr-21,Bukit Merah,1.2824471,103.825505
17,68,Model A,95.17,602888,Apr-21,Bukit Merah,1.2764241,103.8111733
17,68,Model A,95.08,615000,Apr-21,Bukit Merah,1.2764241,103.8111733
23,68,Model A,95.08,620000,Apr-21,Bukit Merah,1.2764241,103.8111733
17,60,Model A,80.92,535000,Mar-21,Bukit Merah,1.2746874,103.8404881
41,68,Model A,97.17,680000,Mar-21,Bukit Merah,1.2865529,103.8215468
29,62,Model A,90.92,570000,Mar-21,Bukit Merah,1.281516,103.830022
17,59,Improved,50.92,318000,Mar-21,Bukit Merah,1.2869242,103.8188638
26,68,Model A,95.17,625000,Mar-21,Bukit Merah,1.2764241,103.8111733
26,68,Model A,95.17,620000,Mar-21,Bukit Merah,1.2765156,103.8106617
35,62,Model A,93.92,683000,Feb-21,Bukit Merah,1.2864219,103.8291656
20,76,Improved,51.42,403000,Feb-21,Bukit Merah,1.2848284,103.8244801
17,76,Improved,51.42,418000,Feb-21,Bukit Merah,1.2848284,103.8244801
23,68,Model A,97.33,660000,Feb-21,Bukit Merah,1.2870311,103.8215329
20,60,Model A,80.92,532000,Jan-21,Bukit Merah,1.2743997,103.8396276
17,73,Standard,47.5,320000,Jan-21,Bukit Merah,1.288844,103.8287358
20,68,Model A,97.42,668000,Jan-21,Bukit Merah,1.288026,103.8212865
20,62,Model A,91.08,560000,Jan-21,Bukit Merah,1.281516,103.830022
26,68,Premium Apartment,91.67,625000,Jan-21,Bukit Merah,1.2734894,103.8072667
17,62,Model A,94.17,665000,Dec-20,Bukit Merah,1.2865016,103.8291887
20,65,Improved,51.67,275000,Dec-20,Bukit Merah,1.2836829,103.8240354
20,65,Improved,51.67,300000,Dec-20,Bukit Merah,1.2848284,103.8244801
23,69,Model A,91.5,625000,Dec-20,Bukit Merah,1.2892981,103.8292566
17,65,Improved,53.08,295000,Dec-20,Bukit Merah,1.2901396,103.8225544
17,65,Improved,60.92,389000,Nov-20,Bukit Merah,1.2915032,103.8272188
17,65,Improved,53.25,300000,Nov-20,Bukit Merah,1.2782254,103.8185015
20,59,Improved,54.33,476000,Nov-21,Central Area,1.2748632,103.8426344
17,74,Improved,55.17,438000,Oct-21,Central Area,1.3059994,103.8572918
17,68,Improved,56.08,530000,Oct-21,Central Area,1.285205,103.845761
20,68,Improved,56.58,500000,Sep-21,Central Area,1.3010138,103.8537971
17,59,Improved,54.5,380000,Sep-21,Central Area,1.2752557,103.842558
17,65,Improved,55.33,391000,Jul-21,Central Area,1.3059994,103.8572918
20,60,Improved,56.08,456000,Jul-21,Central Area,1.298442,103.8523744
20,67,Improved,52.25,508000,Jun-21,Central Area,1.2817753,103.8429707
20,59,Improved,54.75,500000,Jun-21,Central Area,1.2748632,103.8426344
20,65,Improved,53.17,400000,May-21,Central Area,1.2861551,103.8422545
20,65,Improved,53.17,390000,Apr-21,Central Area,1.2861551,103.8422545
17,60,Improved,57.08,440000,Mar-21,Central Area,1.3010138,103.8537971
17,59,Improved,54.92,475000,Mar-21,Central Area,1.276057,103.8423628
17,68,Improved,58.5,510000,Mar-21,Central Area,1.284274,103.8461122
20,59,Improved,55,443000,Feb-21,Central Area,1.2762569,103.8429313
17,59,Improved,55,470000,Feb-21,Central Area,1.2762569,103.8429313
17,67,Improved,52.58,405000,Jan-21,Central Area,1.2817753,103.8429707
17,60,Improved,56.5,420000,Jan-21,Central Area,1.298442,103.8523744
17,59,Improved,55.17,453000,Dec-20,Central Area,1.2752557,103.842558
17,68,Improved,57,475000,Nov-20,Central Area,1.285205,103.845761
20,59,Improved,54.33,476000,Nov-21,Central Area,1.2748632,103.8426344
17,74,Improved,55.17,438000,Oct-21,Central Area,1.3059994,103.8572918
17,68,Improved,56.08,530000,Oct-21,Central Area,1.285205,103.845761
20,68,Improved,56.58,500000,Sep-21,Central Area,1.3010138,103.8537971
17,59,Improved,54.5,380000,Sep-21,Central Area,1.2752557,103.842558
17,65,Improved,55.33,391000,Jul-21,Central Area,1.3059994,103.8572918
20,60,Improved,56.08,456000,Jul-21,Central Area,1.298442,103.8523744
20,67,Improved,52.25,508000,Jun-21,Central Area,1.2817753,103.8429707
20,59,Improved,54.75,500000,Jun-21,Central Area,1.2748632,103.8426344
20,65,Improved,53.17,400000,May-21,Central Area,1.2861551,103.8422545
20,65,Improved,53.17,390000,Apr-21,Central Area,1.2861551,103.8422545
17,60,Improved,57.08,440000,Mar-21,Central Area,1.3010138,103.8537971
17,59,Improved,54.92,475000,Mar-21,Central Area,1.276057,103.8423628
17,68,Improved,58.5,510000,Mar-21,Central Area,1.284274,103.8461122
20,59,Improved,55,443000,Feb-21,Central Area,1.2762569,103.8429313
17,59,Improved,55,470000,Feb-21,Central Area,1.2762569,103.8429313
17,67,Improved,52.58,405000,Jan-21,Central Area,1.2817753,103.8429707
17,60,Improved,56.5,420000,Jan-21,Central Area,1.298442,103.8523744
17,59,Improved,55.17,453000,Dec-20,Central Area,1.2752557,103.842558
17,68,Improved,57,475000,Nov-20,Central Area,1.285205,103.845761
23,69,Model A,94.83,608000,Nov-21,Clementi,1.3197115,103.7644447
23,60,Dbss,92.25,450000,Oct-21,Clementi,1.3194852,103.7656216
17,60,Dbss,92.25,550000,Oct-21,Clementi,1.3194852,103.7656216
35,60,Dbss,92.33,567000,Oct-21,Clementi,1.3194852,103.7656216
38,68,Model A,95.08,603000,Oct-21,Clementi,1.3220646,103.7625436
38,68,Model A,95,610000,Oct-21,Clementi,1.3220646,103.7625436
20,60,Dbss,92.33,508000,Sep-21,Clementi,1.3194852,103.7656216
26,60,Dbss,92.33,568000,Sep-21,Clementi,1.3194852,103.7656216
17,75,Model A,91.17,598000,Aug-21,Clementi,1.3096132,103.7706461
17,69,Model A,95.08,570000,Aug-21,Clementi,1.3197115,103.7644447
29,70,Model A,90,638000,Jul-21,Clementi,1.314864,103.764058
23,60,Dbss,92.5,548000,Jul-21,Clementi,1.3190461,103.7656216
17,61,Model A,80.75,410000,Jun-21,Clementi,1.3125343,103.7717325
17,73,Model A,91.42,561000,May-21,Clementi,1.3091484,103.7686997
23,61,Model A,80.83,452000,May-21,Clementi,1.3129376,103.7715967
17,61,Model A,80.92,400000,Apr-21,Clementi,1.3129376,103.7715967
20,73,Model A,91.58,536888,Mar-21,Clementi,1.3091484,103.7686997
17,60,Dbss,92.92,540000,Feb-21,Clementi,1.3190461,103.7656216
26,60,Dbss,92.92,548000,Feb-21,Clementi,1.3199163,103.7657374
38,60,Dbss,92.83,565000,Feb-21,Clementi,1.3199163,103.7657374
23,60,Dbss,92.92,518000,Jan-21,Clementi,1.3190461,103.7656216
26,60,Dbss,93,543000,Jan-21,Clementi,1.3190461,103.7656216
38,60,Dbss,93,538888,Jan-21,Clementi,1.3199163,103.7657374
20,61,Model A,81.25,400000,Dec-20,Clementi,1.3125343,103.7717325
23,60,Dbss,93.08,555000,Dec-20,Clementi,1.3194852,103.7656216
41,60,Dbss,93.08,530000,Dec-20,Clementi,1.3199163,103.7657374
17,60,Dbss,93.08,530000,Dec-20,Clementi,1.3199163,103.7657374
36,60,Dbss,93.17,465000,Nov-20,Clementi,1.3190461,103.7656216
38,60,Dbss,93.17,558000,Nov-20,Clementi,1.3190461,103.7656216
17,60,Dbss,93.17,518000,Nov-20,Clementi,1.3194852,103.7656216
29,60,Dbss,93.17,540000,Nov-20,Clementi,1.3194852,103.7656216
38,60,Dbss,93.17,540000,Nov-20,Clementi,1.3194852,103.7656216
36,60,Dbss,93.08,550000,Nov-20,Clementi,1.3194852,103.7656216
23,69,Model A,94.83,608000,Nov-21,Clementi,1.3197115,103.7644447
23,60,Dbss,92.25,450000,Oct-21,Clementi,1.3194852,103.7656216
17,60,Dbss,92.25,550000,Oct-21,Clementi,1.3194852,103.7656216
35,60,Dbss,92.33,567000,Oct-21,Clementi,1.3194852,103.7656216
38,68,Model A,95.08,603000,Oct-21,Clementi,1.3220646,103.7625436
38,68,Model A,95,610000,Oct-21,Clementi,1.3220646,103.7625436
20,60,Dbss,92.33,508000,Sep-21,Clementi,1.3194852,103.7656216
26,60,Dbss,92.33,568000,Sep-21,Clementi,1.3194852,103.7656216
17,75,Model A,91.17,598000,Aug-21,Clementi,1.3096132,103.7706461
17,69,Model A,95.08,570000,Aug-21,Clementi,1.3197115,103.7644447
29,70,Model A,90,638000,Jul-21,Clementi,1.314864,103.764058
23,60,Dbss,92.5,548000,Jul-21,Clementi,1.3190461,103.7656216
17,61,Model A,80.75,410000,Jun-21,Clementi,1.3125343,103.7717325
17,73,Model A,91.42,561000,May-21,Clementi,1.3091484,103.7686997
23,61,Model A,80.83,452000,May-21,Clementi,1.3129376,103.7715967
17,61,Model A,80.92,400000,Apr-21,Clementi,1.3129376,103.7715967
20,73,Model A,91.58,536888,Mar-21,Clementi,1.3091484,103.7686997
17,60,Dbss,92.92,540000,Feb-21,Clementi,1.3190461,103.7656216
26,60,Dbss,92.92,548000,Feb-21,Clementi,1.3199163,103.7657374
38,60,Dbss,92.83,565000,Feb-21,Clementi,1.3199163,103.7657374
23,60,Dbss,92.92,518000,Jan-21,Clementi,1.3190461,103.7656216
26,60,Dbss,93,543000,Jan-21,Clementi,1.3190461,103.7656216
38,60,Dbss,93,538888,Jan-21,Clementi,1.3199163,103.7657374
20,61,Model A,81.25,400000,Dec-20,Clementi,1.3125343,103.7717325
23,60,Dbss,93.08,555000,Dec-20,Clementi,1.3194852,103.7656216
41,60,Dbss,93.08,530000,Dec-20,Clementi,1.3199163,103.7657374
17,60,Dbss,93.08,530000,Dec-20,Clementi,1.3199163,103.7657374
36,60,Dbss,93.17,465000,Nov-20,Clementi,1.3190461,103.7656216
38,60,Dbss,93.17,558000,Nov-20,Clementi,1.3190461,103.7656216
17,60,Dbss,93.17,518000,Nov-20,Clementi,1.3194852,103.7656216
29,60,Dbss,93.17,540000,Nov-20,Clementi,1.3194852,103.7656216
38,60,Dbss,93.17,540000,Nov-20,Clementi,1.3194852,103.7656216
36,60,Dbss,93.08,550000,Nov-20,Clementi,1.3194852,103.7656216
17,68,Model A,95.08,415000,May-21,Hougang,1.375965,103.9010505
17,67,Dbss,92.5,495000,May-21,Hougang,1.3762148,103.9000675
20,67,Model A,93.17,405000,Apr-21,Hougang,1.379264,103.9006694
17,68,Model A,95.25,400000,Mar-21,Hougang,1.3767753,103.9003069
17,68,Model A,95.25,405000,Mar-21,Hougang,1.375965,103.9010505
17,68,Premium Apartment,94.08,419999,Mar-21,Hougang,1.3767521,103.9040981
17,67,Dbss,92.83,495000,Jan-21,Hougang,1.3751631,103.9003975
17,68,Model A,95.08,415000,May-21,Hougang,1.375965,103.9010505
17,67,Dbss,92.5,495000,May-21,Hougang,1.3762148,103.9000675
20,67,Model A,93.17,405000,Apr-21,Hougang,1.379264,103.9006694
17,68,Model A,95.25,400000,Mar-21,Hougang,1.3767753,103.9003069
17,68,Model A,95.25,405000,Mar-21,Hougang,1.375965,103.9010505
17,68,Premium Apartment,94.08,419999,Mar-21,Hougang,1.3767521,103.9040981
17,67,Dbss,92.83,495000,Jan-21,Hougang,1.3751631,103.9003975
17,65,Improved,53.5,405000,Oct-21,Marine Parade,1.3039673,103.9097317
17,76,Improved,53.58,588000,Sep-21,Marine Parade,1.3034544,103.909913
