storey,floor area (sqm),flat model,remaining lease (yr),resale price ($),resale registration date,area,lat,lng
17,65,Improved,53.75,488888,Aug-21,Marine Parade,1.3034544,103.909913
17,76,Improved,53.92,478000,Apr-21,Marine Parade,1.3034544,103.909913
17,65,Improved,53.25,425000,Feb-21,Marine Parade,1.3037019,103.9114083
17,76,Improved,54.33,462000,Dec-20,Marine Parade,1.3039673,103.9097317
17,65,Improved,54.33,408000,Dec-20,Marine Parade,1.3043334,103.9096411
17,65,Improved,53.5,405000,Oct-21,Marine Parade,1.3039673,103.9097317
17,76,Improved,53.58,588000,Sep-21,Marine Parade,1.3034544,103.909913
17,65,Improved,53.75,488888,Aug-21,Marine Parade,1.3034544,103.909913
17,76,Improved,53.92,478000,Apr-21,Marine Parade,1.3034544,103.909913
17,65,Improved,53.25,425000,Feb-21,Marine Parade,1.3037019,103.9114083
17,76,Improved,54.33,462000,Dec-20,Marine Parade,1.3039673,103.9097317
17,65,Improved,54.33,408000,Dec-20,Marine Parade,1.3043334,103.9096411
26,63,Model A,92.42,620000,Oct-21,Queenstown,1.296245,103.799522
44,65,Premium Apartment,93.92,706000,Oct-21,Queenstown,1.2960052,103.8099048
38,65,Premium Apartment,93.58,690000,Oct-21,Queenstown,1.2949706,103.811632
41,69,Model A,89.5,568000,Oct-21,Queenstown,1.3058533,103.7821896
29,67,Model A,90.58,648000,Oct-21,Queenstown,1.3083214,103.7857208
20,73,Improved,52.33,480000,Oct-21,Queenstown,1.3095086,103.7945718
20,73,Improved,51.67,421000,Oct-21,Queenstown,1.3071143,103.7954772
38,67,Model A,90,688000,Oct-21,Queenstown,1.3110337,103.7916988
26,63,Model A,92.42,600000,Sep-21,Queenstown,1.301254,103.7971808
36,65,Premium Apartment,94,680000,Sep-21,Queenstown,1.2960052,103.8099048
17,65,Improved,51.75,445000,Sep-21,Queenstown,1.3074653,103.794866
17,73,Improved,51.75,445000,Sep-21,Queenstown,1.3079724,103.7957715
23,65,Improved,51.67,410000,Sep-21,Queenstown,1.3071143,103.7954772
20,65,Improved,52.5,425000,Sep-21,Queenstown,1.309007,103.7940607
17,67,Improved,47.42,320000,Sep-21,Queenstown,1.2935996,103.8035009
17,72,Improved,47.83,390000,Sep-21,Queenstown,1.2921971,103.8042835
20,72,Improved,47.92,422000,Sep-21,Queenstown,1.2914703,103.8034685
17,65,Improved,50.75,368000,Sep-21,Queenstown,1.2944348,103.7997331
36,65,Premium Apartment,93.75,628888,Aug-21,Queenstown,1.2953335,103.8125242
23,65,Premium Apartment,93.75,640000,Aug-21,Queenstown,1.2950626,103.8111407
17,65,Improved,51.75,448000,Aug-21,Queenstown,1.3079724,103.7957715
17,65,Improved,52.5,415000,Aug-21,Queenstown,1.3093758,103.7934172
38,67,Model A,90.17,738000,Aug-21,Queenstown,1.3110337,103.7916988
36,60,Model A,86,570000,Aug-21,Queenstown,1.3006381,103.7990313
17,63,Model A,92.67,610000,Jul-21,Queenstown,1.296245,103.799522
36,65,Premium Apartment,94.17,648500,Jul-21,Queenstown,1.2960052,103.8099048
29,65,Premium Apartment,94.08,700000,Jul-21,Queenstown,1.2960052,103.8099048
23,70,Model A,89.67,500000,Jul-21,Queenstown,1.3058533,103.7821896
17,65,Improved,51.92,330000,Jul-21,Queenstown,1.3079724,103.7957715
17,65,Improved,51.92,400000,Jul-21,Queenstown,1.3071143,103.7954772
17,65,Improved,52.58,368000,Jul-21,Queenstown,1.309007,103.7940607
29,60,Model A,86.17,568000,Jul-21,Queenstown,1.3012974,103.7989931
20,63,Model A,92.75,580000,Jun-21,Queenstown,1.301254,103.7971808
20,63,Model A,92.75,580000,Jun-21,Queenstown,1.3017618,103.7971954
26,65,Premium Apartment,94.25,630000,Jun-21,Queenstown,1.2960052,103.8099048
20,65,Premium Apartment,94.25,645000,Jun-21,Queenstown,1.2960052,103.8099048
23,65,Premium Apartment,94.25,650000,Jun-21,Queenstown,1.2960052,103.8099048
36,65,Premium Apartment,94.25,660000,Jun-21,Queenstown,1.2960052,103.8099048
38,69,Model A,89.83,540000,Jun-21,Queenstown,1.3053608,103.7819402
17,65,Improved,52,335000,Jun-21,Queenstown,1.3074653,103.794866
20,73,Improved,52,448888,Jun-21,Queenstown,1.3074653,103.794866
17,67,Improved,47.67,320000,Jun-21,Queenstown,1.2935996,103.8035009
17,70,Model A,89.25,580000,Jun-21,Queenstown,1.2942509,103.8122177
36,65,Premium Apartment,94.33,646000,May-21,Queenstown,1.2960052,103.8099048
36,65,Premium Apartment,94.33,660000,May-21,Queenstown,1.2960052,103.8099048
26,67,Model A,91,600888,May-21,Queenstown,1.3083214,103.7857208
26,67,Model A,91,613888,May-21,Queenstown,1.3083214,103.7857208
17,59,Improved,52.08,363000,May-21,Queenstown,1.306882,103.7945038
20,73,Improved,52.67,455000,May-21,Queenstown,1.309007,103.7940607
17,76,Improved,51,418000,May-21,Queenstown,1.2944348,103.7997331
17,70,Improved,48.17,338000,May-21,Queenstown,1.2904595,103.8031098
17,69,Model A,89.33,580000,May-21,Queenstown,1.2945274,103.8110342
20,63,Model A,92.83,600000,Apr-21,Queenstown,1.3015032,103.7971066
29,65,Premium Apartment,94.42,650000,Apr-21,Queenstown,1.2960052,103.8099048
17,65,Premium Apartment,94.33,650000,Apr-21,Queenstown,1.2960052,103.8099048
17,65,Premium Apartment,94.42,690000,Apr-21,Queenstown,1.2960052,103.8099048
20,73,Improved,52.25,455000,Apr-21,Queenstown,1.3074653,103.794866
26,60,Model A,86.33,490000,Apr-21,Queenstown,1.3006381,103.7990313
23,65,Premium Apartment,94.5,575000,Mar-21,Queenstown,1.2960052,103.8099048
17,65,Premium Apartment,94.42,649000,Mar-21,Queenstown,1.2960052,103.8099048
44,65,Premium Apartment,94.5,670000,Mar-21,Queenstown,1.2960052,103.8099048
26,65,Premium Apartment,94.25,635000,Mar-21,Queenstown,1.2949706,103.811632
29,65,Premium Apartment,94.17,650000,Mar-21,Queenstown,1.2949706,103.811632
17,69,Model A,90,520000,Mar-21,Queenstown,1.3053608,103.7819402
20,65,Improved,52.17,435000,Mar-21,Queenstown,1.3092152,103.7959526
23,59,Improved,52.17,345000,Mar-21,Queenstown,1.306882,103.7945038
36,65,Premium Apartment,94.58,646000,Feb-21,Queenstown,1.2960052,103.8099048
26,65,Premium Apartment,94.5,646888,Feb-21,Queenstown,1.2960052,103.8099048
41,65,Premium Apartment,94.58,690000,Feb-21,Queenstown,1.2960052,103.8099048
47,65,Premium Apartment,94.58,697000,Feb-21,Queenstown,1.2960052,103.8099048
38,65,Premium Apartment,94.17,641888,Feb-21,Queenstown,1.2949706,103.811632
23,69,Model A,89.5,580000,Feb-21,Queenstown,1.2945274,103.8110342
35,65,Premium Apartment,94.67,668000,Jan-21,Queenstown,1.2960052,103.8099048
35,65,Premium Apartment,94.25,650000,Jan-21,Queenstown,1.2949706,103.811632
35,70,Model A,90.25,538000,Jan-21,Queenstown,1.3053608,103.7819402
20,76,Improved,51.33,420000,Jan-21,Queenstown,1.2944348,103.7997331
41,65,Premium Apartment,94.67,690000,Dec-20,Queenstown,1.2960052,103.8099048
38,65,Premium Apartment,94.75,700000,Dec-20,Queenstown,1.2960052,103.8099048
23,65,Premium Apartment,94.33,568000,Dec-20,Queenstown,1.2949706,103.811632
36,65,Premium Apartment,94.33,641888,Dec-20,Queenstown,1.2949706,103.811632
36,70,Model A,90.42,530000,Dec-20,Queenstown,1.3053608,103.7819402
23,67,Model A,91.42,598000,Dec-20,Queenstown,1.3083214,103.7857208
17,65,Improved,52.5,360000,Dec-20,Queenstown,1.3071143,103.7954772
23,65,Improved,53.17,405000,Dec-20,Queenstown,1.309007,103.7940607
35,60,Model A,86.67,598000,Dec-20,Queenstown,1.3006381,103.7990313
36,65,Premium Apartment,94.83,675000,Nov-20,Queenstown,1.2960052,103.8099048
29,65,Premium Apartment,94.5,630000,Nov-20,Queenstown,1.2954574,103.8117132
35,65,Premium Apartment,94.5,657000,Nov-20,Queenstown,1.2953335,103.8125242
36,65,Premium Apartment,94.42,660000,Nov-20,Queenstown,1.2953335,103.8125242
38,65,Premium Apartment,94.5,655000,Nov-20,Queenstown,1.2950626,103.8111407
35,69,Model A,90.42,530000,Nov-20,Queenstown,1.3053608,103.7819402
26,63,Model A,92.42,620000,Oct-21,Queenstown,1.296245,103.799522
44,65,Premium Apartment,93.92,706000,Oct-21,Queenstown,1.2960052,103.8099048
38,65,Premium Apartment,93.58,690000,Oct-21,Queenstown,1.2949706,103.811632
41,69,Model A,89.5,568000,Oct-21,Queenstown,1.3058533,103.7821896
29,67,Model A,90.58,648000,Oct-21,Queenstown,1.3083214,103.7857208
20,73,Improved,52.33,480000,Oct-21,Queenstown,1.3095086,103.7945718
20,73,Improved,51.67,421000,Oct-21,Queenstown,1.3071143,103.7954772
38,67,Model A,90,688000,Oct-21,Queenstown,1.3110337,103.7916988
26,63,Model A,92.42,600000,Sep-21,Queenstown,1.301254,103.7971808
36,65,Premium Apartment,94,680000,Sep-21,Queenstown,1.2960052,103.8099048
17,65,Improved,51.75,445000,Sep-21,Queenstown,1.3074653,103.794866
17,73,Improved,51.75,445000,Sep-21,Queenstown,1.3079724,103.7957715
23,65,Improved,51.67,410000,Sep-21,Queenstown,1.3071143,103.7954772
20,65,Improved,52.5,425000,Sep-21,Queenstown,1.309007,103.7940607
17,67,Improved,47.42,320000,Sep-21,Queenstown,1.2935996,103.8035009
17,72,Improved,47.83,390000,Sep-21,Queenstown,1.2921971,103.8042835
20,72,Improved,47.92,422000,Sep-21,Queenstown,1.2914703,103.8034685
17,65,Improved,50.75,368000,Sep-21,Queenstown,1.2944348,103.7997331
36,65,Premium Apartment,93.75,628888,Aug-21,Queenstown,1.2953335,103.8125242
23,65,Premium Apartment,93.75,640000,Aug-21,Queenstown,1.2950626,103.8111407
17,65,Improved,51.75,448000,Aug-21,Queenstown,1.3079724,103.7957715
17,65,Improved,52.5,415000,Aug-21,Queenstown,1.3093758,103.7934172
38,67,Model A,90.17,738000,Aug-21,Queenstown,1.3110337,103.7916988
36,60,Model A,86,570000,Aug-21,Queenstown,1.3006381,103.7990313
17,63,Model A,92.67,610000,Jul-21,Queenstown,1.296245,103.799522
36,65,Premium Apartment,94.17,648500,Jul-21,Queenstown,1.2960052,103.8099048
29,65,Premium Apartment,94.08,700000,Jul-21,Queenstown,1.2960052,103.8099048
23,70,Model A,89.67,500000,Jul-21,Queenstown,1.3058533,103.7821896
17,65,Improved,51.92,330000,Jul-21,Queenstown,1.3079724,103.7957715
17,65,Improved,51.92,400000,Jul-21,Queenstown,1.3071143,103.7954772
17,65,Improved,52.58,368000,Jul-21,Queenstown,1.309007,103.7940607
29,60,Model A,86.17,568000,Jul-21,Queenstown,1.3012974,103.7989931
20,63,Model A,92.75,580000,Jun-21,Queenstown,1.301254,103.7971808
20,63,Model A,92.75,580000,Jun-21,Queenstown,1.3017618,103.7971954
26,65,Premium Apartment,94.25,630000,Jun-21,Queenstown,1.2960052,103.8099048
20,65,Premium Apartment,94.25,645000,Jun-21,Queenstown,1.2960052,103.8099048
23,65,Premium Apartment,94.25,650000,Jun-21,Queenstown,1.2960052,103.8099048
36,65,Premium Apartment,94.25,660000,Jun-21,Queenstown,1.2960052,103.8099048
38,69,Model A,89.83,540000,Jun-21,Queenstown,1.3053608,103.7819402
17,65,Improved,52,335000,Jun-21,Queenstown,1.3074653,103.794866
20,73,Improved,52,448888,Jun-21,Queenstown,1.3074653,103.794866
17,67,Improved,47.67,320000,Jun-21,Queenstown,1.2935996,103.8035009
17,70,Model A,89.25,580000,Jun-21,Queenstown,1.2942509,103.8122177
36,65,Premium Apartment,94.33,646000,May-21,Queenstown,1.2960052,103.8099048
36,65,Premium Apartment,94.33,660000,May-21,Queenstown,1.2960052,103.8099048
26,67,Model A,91,600888,May-21,Queenstown,1.3083214,103.7857208
26,67,Model A,91,613888,May-21,Queenstown,1.3083214,103.7857208
17,59,Improved,52.08,363000,May-21,Queenstown,1.306882,103.7945038
20,73,Improved,52.67,455000,May-21,Queenstown,1.309007,103.7940607
17,76,Improved,51,418000,May-21,Queenstown,1.2944348,103.7997331
17,70,Improved,48.17,338000,May-21,Queenstown,1.2904595,103.8031098
17,69,Model A,89.33,580000,May-21,Queenstown,1.2945274,103.8110342
20,63,Model A,92.83,600000,Apr-21,Queenstown,1.3015032,103.7971066
29,65,Premium Apartment,94.42,650000,Apr-21,Queenstown,1.2960052,103.8099048
17,65,Premium Apartment,94.33,650000,Apr-21,Queenstown,1.2960052,103.8099048
17,65,Premium Apartment,94.42,690000,Apr-21,Queenstown,1.2960052,103.8099048
20,73,Improved,52.25,455000,Apr-21,Queenstown,1.3074653,103.794866
26,60,Model A,86.33,490000,Apr-21,Queenstown,1.3006381,103.7990313
23,65,Premium Apartment,94.5,575000,Mar-21,Queenstown,1.2960052,103.8099048
17,65,Premium Apartment,94.42,649000,Mar-21,Queenstown,1.2960052,103.8099048
44,65,Premium Apartment,94.5,670000,Mar-21,Queenstown,1.2960052,103.8099048
26,65,Premium Apartment,94.25,635000,Mar-21,Queenstown,1.2949706,103.811632
29,65,Premium Apartment,94.17,650000,Mar-21,Queenstown,1.2949706,103.811632
17,69,Model A,90,520000,Mar-21,Queenstown,1.3053608,103.7819402
20,65,Improved,52.17,435000,Mar-21,Queenstown,1.3092152,103.7959526
23,59,Improved,52.17,345000,Mar-21,Queenstown,1.306882,103.7945038
36,65,Premium Apartment,94.58,646000,Feb-21,Queenstown,1.2960052,103.8099048
26,65,Premium Apartment,94.5,646888,Feb-21,Queenstown,1.2960052,103.8099048
41,65,Premium Apartment,94.58,690000,Feb-21,Queenstown,1.2960052,103.8099048
47,65,Premium Apartment,94.58,697000,Feb-21,Queenstown,1.2960052,103.8099048
38,65,Premium Apartment,94.17,641888,Feb-21,Queenstown,1.2949706,103.811632
23,69,Model A,89.5,580000,Feb-21,Queenstown,1.2945274,103.8110342
35,65,Premium Apartment,94.67,668000,Jan-21,Queenstown,1.2960052,103.8099048
35,65,Premium Apartment,94.25,650000,Jan-21,Queenstown,1.2949706,103.811632
35,70,Model A,90.25,538000,Jan-21,Queenstown,1.3053608,103.7819402
20,76,Improved,51.33,420000,Jan-21,Queenstown,1.2944348,103.7997331
41,65,Premium Apartment,94.67,690000,Dec-20,Queenstown,1.2960052,103.8099048
38,65,Premium Apartment,94.75,700000,Dec-20,Queenstown,1.2960052,103.8099048
23,65,Premium Apartment,94.33,568000,Dec-20,Queenstown,1.2949706,103.811632
36,65,Premium Apartment,94.33,641888,Dec-20,Queenstown,1.2949706,103.811632
36,70,Model A,90.42,530000,Dec-20,Queenstown,1.3053608,103.7819402
23,67,Model A,91.42,598000,Dec-20,Queenstown,1.3083214,103.7857208
17,65,Improved,52.5,360000,Dec-20,Queenstown,1.3071143,103.7954772
23,65,Improved,53.17,405000,Dec-20,Queenstown,1.309007,103.7940607
35,60,Model A,86.67,598000,Dec-20,Queenstown,1.3006381,103.7990313
36,65,Premium Apartment,94.83,675000,Nov-20,Queenstown,1.2960052,103.8099048
29,65,Premium Apartment,94.5,630000,Nov-20,Queenstown,1.2954574,103.8117132
35,65,Premium Apartment,94.5,657000,Nov-20,Queenstown,1.2953335,103.8125242
36,65,Premium Apartment,94.42,660000,Nov-20,Queenstown,1.2953335,103.8125242
38,65,Premium Apartment,94.5,655000,Nov-20,Queenstown,1.2950626,103.8111407
35,69,Model A,90.42,530000,Nov-20,Queenstown,1.3053608,103.7819402
17,67,Improved,47.33,338000,Oct-21,Toa Payoh,1.3379959,103.8444058
20,77,Improved,48.33,340000,Oct-21,Toa Payoh,1.3363898,103.8563633
17,74,Model A,61.75,438000,Oct-21,Toa Payoh,1.3332642,103.8661489
17,68,Improved,46.17,270000,May-21,Toa Payoh,1.3377393,103.8508373
17,74,Model A,62.5,420000,May-21,Toa Payoh,1.3343451,103.8692235
20,63,Improved,47.75,295000,Apr-21,Toa Payoh,1.3404772,103.8457645
17,74,Model A,62.5,450000,Apr-21,Toa Payoh,1.3332085,103.8683714
17,68,Model A,94.92,495000,Apr-21,Toa Payoh,1.3347419,103.8787246
17,68,Improved,49.83,328000,Mar-21,Toa Payoh,1.3363419,103.8483275
17,67,Improved,48.83,300000,Mar-21,Toa Payoh,1.3363898,103.8563633
20,78,Improved,50,310000,Feb-21,Toa Payoh,1.3363688,103.8474016
17,68,Improved,46.5,270000,Jan-21,Toa Payoh,1.3377393,103.8508373
17,67,Improved,49.08,298000,Jan-21,Toa Payoh,1.3363898,103.8563633
17,68,Improved,50.17,300000,Dec-20,Toa Payoh,1.3363302,103.8492944
23,68,Improved,50.17,344888,Dec-20,Toa Payoh,1.3363302,103.8492944
20,67,Improved,49.08,280000,Dec-20,Toa Payoh,1.3363898,103.8563633
17,67,Improved,47.33,338000,Oct-21,Toa Payoh,1.3379959,103.8444058
20,77,Improved,48.33,340000,Oct-21,Toa Payoh,1.3363898,103.8563633
17,74,Model A,61.75,438000,Oct-21,Toa Payoh,1.3332642,103.8661489
17,68,Improved,46.17,270000,May-21,Toa Payoh,1.3377393,103.8508373
17,74,Model A,62.5,420000,May-21,Toa Payoh,1.3343451,103.8692235
20,63,Improved,47.75,295000,Apr-21,Toa Payoh,1.3404772,103.8457645
17,74,Model A,62.5,450000,Apr-21,Toa Payoh,1.3332085,103.8683714
17,68,Model A,94.92,495000,Apr-21,Toa Payoh,1.3347419,103.8787246
17,68,Improved,49.83,328000,Mar-21,Toa Payoh,1.3363419,103.8483275
17,67,Improved,48.83,300000,Mar-21,Toa Payoh,1.3363898,103.8563633
20,78,Improved,50,310000,Feb-21,Toa Payoh,1.3363688,103.8474016
17,68,Improved,46.5,270000,Jan-21,Toa Payoh,1.3377393,103.8508373
17,67,Improved,49.08,298000,Jan-21,Toa Payoh,1.3363898,103.8563633
17,68,Improved,50.17,300000,Dec-20,Toa Payoh,1.3363302,103.8492944
23,68,Improved,50.17,344888,Dec-20,Toa Payoh,1.3363302,103.8492944
20,67,Improved,49.08,280000,Dec-20,Toa Payoh,1.3363898,103.8563633
36,68,Model A,95.17,685000,Oct-21,Whampoa,1.3150044,103.8605316
29,62,Model A,81.75,515000,Oct-21,Whampoa,1.3110963,103.8517432
29,67,Model A,95.17,548888,Oct-21,Whampoa,1.3283047,103.8608039
17,59,Improved,50.83,310000,Oct-21,Whampoa,1.3251101,103.8547549
17,68,Premium Apartment,95.25,647000,Oct-21,Whampoa,1.3203346,103.8598175
35,68,Model A,95.33,688000,Sep-21,Whampoa,1.3150044,103.8605316
29,62,Model A,81.83,555000,Sep-21,Whampoa,1.3110963,103.8517432
17,65,Improved,51.92,320000,Sep-21,Whampoa,1.3234434,103.8690181
29,67,Model A,95.25,540000,Sep-21,Whampoa,1.3273304,103.8604103
29,62,Model A,81.92,550000,Aug-21,Whampoa,1.312127,103.8518016
17,62,Model A,81.83,516000,Aug-21,Whampoa,1.3110963,103.8517432
23,62,Model A,81.92,520000,Aug-21,Whampoa,1.3110963,103.8517432
29,67,Model A,95.33,549888,Aug-21,Whampoa,1.3273304,103.8604103
17,68,Improved,57.25,355000,Jul-21,Whampoa,1.3034881,103.8645209
17,67,Model A,95.42,510000,Jul-21,Whampoa,1.3273304,103.8604103
17,67,Model A,95.42,515000,Jul-21,Whampoa,1.3277272,103.8608929
23,70,Premium Apartment,95.08,615000,Jul-21,Whampoa,1.3131343,103.8698693
29,70,Premium Apartment,95,610000,Jul-21,Whampoa,1.3126024,103.8700432
26,62,Model A,82.08,528000,Jun-21,Whampoa,1.312127,103.8518016
23,62,Model A,82.08,490000,Jun-21,Whampoa,1.3110963,103.8517432
26,67,Model A,95.5,520000,Jun-21,Whampoa,1.3273304,103.8604103
26,67,Model A,95.5,540000,Jun-21,Whampoa,1.3273304,103.8604103
17,70,Premium Apartment,95.17,600000,May-21,Whampoa,1.3126024,103.8700432
17,66,Improved,59.17,310000,May-21,Whampoa,1.3247979,103.8578334
20,62,Model A,82.17,548888,Apr-21,Whampoa,1.312127,103.8518016
17,65,Improved,51.25,270000,Apr-21,Whampoa,1.3252261,103.85426
17,62,Model A,82.33,497000,Mar-21,Whampoa,1.312127,103.8518016
